Date,Time,Temperature,Humidity,SP3S-AQ2-01,TGS832-A00,TGS822,SP-11-00,NA,SK25F,NA,SB-51-00,SP-19-01,SP-31-00,TGS2602-B00,TGS2620-C00
20/03/2021,00:08:44,25.106190076549424,52.56326136161339,4.804752388219138,5.404557301999087,5.423371524492598,3.2260453532733075,4.885622292079963,0.0037753456432168455,-0.0006438089424690984,0.8173810834732187,3.8043045444834425,3.816055620326568,3.758219075232717,3.828219233938654
20/03/2021,00:28:48,25.084471402049804,52.55410594847537,4.804752388219138,5.404932336334506,5.423371524492599,3.226295376163587,4.885878565542498,0.0037565939264459004,-0.0006500595147260799,0.8128369174423932,3.818649607813216,3.849646195635588,3.7638508408362585,3.8344948084846635
20/03/2021,00:48:54,25.08874392818086,52.51143155057094,4.810902951320006,5.405182359224783,5.424121593163437,3.226670410499006,4.885653544941248,0.0037378422096749557,-0.0006375583702121168,0.807767703341981,3.8331509354494115,3.887168380894247,3.7707014680299116,3.841932989470471
20/03/2021,01:08:58,25.110462602680503,52.432847587802954,4.811659270563101,5.4046823134442254,5.422996490157179,3.226545399053866,4.885803558675415,0.0037503433541889184,-0.0006500595147260799,0.8038485945368532,3.845727086830458,3.9153147077674357,3.775201880054936,3.847708518235923
20/03/2021,01:28:58,25.10236260522367,52.37267617812366,4.812440592095225,5.402557118876851,5.421871387150924,3.223163839462842,4.885334765756142,0.0037440927819319372,-0.0006625606592400428,0.800217012055547,3.8561842942163898,3.943379777201281,3.779902310392187,3.852583964596367
20/03/2021,01:49:00,25.08500546781619,52.2951094834821,4.812440592095225,5.401682038760874,5.422246421486343,3.2226512925377695,4.885403522050968,0.0037378422096749557,-0.0006688112314970245,0.7964916709903865,3.8679416206317723,3.9741200915611175,3.7854590691286436,3.8574719121013277
20/03/2021,02:09:12,25.1117087561354,52.15304798962386,4.812440592095225,5.404432290553946,5.423996581718297,3.223420112925378,4.88575355409736,0.0037378422096749557,-0.000662560659240043,0.7918037417976501,3.881936651915154,4.0099671234549055,3.7925597192125746,3.864503805890433
20/03/2021,02:29:15,25.099158210625365,52.016072836397846,4.812440592095225,5.4050573477796435,5.423746558828017,3.220732366854876,4.885953572409583,0.0037065893483900487,-0.0006500595147260798,0.7880471478712043,3.894206525255608,4.03934481306272,3.798147730810316,3.869310495956051
20/03/2021,02:49:28,25.103074692912184,51.82274102896671,4.812440592095225,5.404057256218526,5.420746284144666,3.2193259880970557,4.885922319548298,0.003656584770334197,-0.000675061803754006,0.7844905722569812,3.9042324431558066,4.067522392797192,3.8046170730962925,3.873567135663056
20/03/2021,03:09:22,25.109216449225602,51.751837440553395,4.812440592095225,5.404182267663667,5.420621272699527,3.2131066687013603,4.885834811536699,0.003725341065160993,-0.0006938135205249506,0.7821341065160997,3.9115518632687323,4.085836569510148,3.807779862658324,3.8764986540515802
20/03/2021,03:29:31,25.098446122936863,51.64319320464891,4.8178160842362265,5.402182084541433,5.420621272699528,3.2126066229208017,4.88597857469861,0.0036878376316191045,-0.000687562948267969,0.7800589165267813,3.917364895467725,4.103263164962613,3.8119614954982457,3.878411329162216
20/03/2021,03:49:37,25.082691182828516,51.58704000406907,4.818691164352204,5.4035572104379685,5.420496261254385,3.2092313139020305,4.886159841294066,0.003694088203876086,-0.000675061803754006,0.7777087013581563,3.9252968716618337,4.122664941248284,3.8165181626735833,3.881374100412026
20/03/2021,04:09:48,25.089990081635772,51.44869153887236,4.817191027010529,5.401307004425456,5.419121135357851,3.2068560964443766,4.885441025484512,0.003662835342591179,-0.0006688112314970245,0.7747146772470621,3.932878815809553,4.1451982542347015,3.820787303525103,3.885293209217153
20/03/2021,04:30:06,25.08304722667277,51.23476005188066,4.818816175797342,5.401557027315734,5.419246146802993,3.2012305814130935,4.885659795513505,0.0036315824813062717,-0.0006500595147260799,0.7718269128643367,3.9412795849229356,4.165131329162215,3.827056627498856,3.888724773386235
20/03/2021,04:50:18,25.094707662572166,51.000788382798,4.8199412788036,5.402432107431712,5.4194961696932715,3.1954800549366684,4.886178593010835,0.003637833053563253,-0.000700064092781932,0.7693454356783149,3.947623915763773,4.184339337707921,3.832013331298642,3.891631289485729
20/03/2021,05:10:15,25.071386790773378,50.832176190839505,4.8199412788036,5.402307095986572,5.41949616969327,3.1860416908286293,4.88633485731726,0.003700338776133067,-0.0006500595147260799,0.768039066076606,3.9521305783610567,4.196415443308407,3.834607318785289,3.8919688203876075
20/03/2021,05:30:19,25.082691182828512,50.7002365148394,4.8199412788036,5.40318217610255,5.419121135357852,3.180916221577905,4.8862911033114615,0.0036690859148481598,-0.000687562948267969,0.7691391667938345,3.948511497024264,4.189858593010835,3.8332009400274667,3.8880934655882813
20/03/2021,05:50:24,25.091414257012797,50.591948322779174,4.819566244468181,5.404807324889364,5.418621089577295,3.17765342285976,4.886359859606288,0.0037128399206470303,-0.0006938135205249506,0.770595550129711,3.9438610712650695,4.178057512589655,3.8318133129864194,3.8837805707309627
20/03/2021,06:10:22,25.07414613056637,50.493629358358135,4.816440958339689,5.400556935754618,5.417245963680756,3.1698527086830475,4.885509781779337,0.0037065893483900487,-0.000700064092781932,0.7715518876850299,3.9399482130321983,4.168725408209981,3.8299631435983525,3.8806552846024736
20/03/2021,06:30:45,25.076905470359343,50.35548434678672,4.817691072791084,5.404307279108806,5.417495986571037,3.1673524797802552,4.886347358461774,0.0037065893483900487,-0.000675061803754006,0.7726894918358005,3.9367229177475953,4.161731017854417,3.831031991454296,3.8771424629940494
20/03/2021,06:50:45,25.062930749472297,50.212151267770395,4.812690614985503,5.404557301999086,5.417120952235619,3.1574765756142216,4.886403613612088,0.0037128399206470303,-0.000662560659240043,0.7732207904776432,3.934647727758279,4.159524565847703,3.8332384434610103,3.87469848924157
